Designator,Mid X,Mid Y,Rotation,Layer
D58,214.2125,-116.365,90.0,bottom
D59,233.2625,-116.365,90.0,bottom
D6,142.775,-59.215,90.0,bottom
D60,252.3125,-116.365,90.0,bottom
D61,271.3625,-116.365,90.0,bottom
D62,302.31875,-116.365,90.0,bottom
D63,333.275,-116.365,90.0,bottom
D64,352.325,-116.365,90.0,bottom
D65,59.43125,-135.415,90.0,bottom
D66,90.3875,-135.415,90.0,bottom
D67,109.4375,-135.415,90.0,bottom
D68,128.4875,-135.415,90.0,bottom
D69,147.5375,-135.415,90.0,bottom
D7,161.825,-59.215,90.0,bottom
D70,166.5875,-135.415,90.0,bottom
D71,185.6375,-135.415,90.0,bottom
D72,204.6875,-135.415,90.0,bottom
D73,223.7375,-135.415,90.0,bottom
D74,242.7875,-135.415,90.0,bottom
D75,261.8375,-135.415,90.0,bottom
D76,288.03125,-135.415,90.0,bottom
D77,314.225,-135.415,90.0,bottom
D78,333.275,-135.415,90.0,bottom
D79,352.325,-135.415,90.0,bottom
D8,180.875,-59.215,90.0,bottom
D80,49.90625,-154.465,90.0,bottom
D81,73.71875,-154.465,90.0,bottom
D82,97.53125,-154.465,90.0,bottom
D83,168.96875,-154.465,90.0,bottom
D84,238.025,-154.465,90.0,bottom
D85,257.075,-154.465,90.0,bottom
